,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__penalty,param_preprocessor__num__pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
65,0.035750198364257815,0.007302051957797609,0.9583112716674804,0.03263288010151227,1.1288378916846895,l1,3,"{'logistic__C': 1.1288378916846895, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 3}",0.0960194881056953,0.07561818103205428,0.06525974936741835,0.07726440626786509,0.08975000983135721,0.08078236692087805,0.010886551337610299,86,0.10791196686500706,0.11807091448563616,0.11668917005349508,0.12528739656365423,0.12630527234719932,0.11885294406299836,0.006662399659428049
66,0.043183422088623045,0.008299866200608913,1.0032188415527343,0.023063900711796596,1.1288378916846895,l1,4,"{'logistic__C': 1.1288378916846895, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 4}",0.09777786431846205,0.08471125753722927,0.06937998220794515,0.08071721647624219,0.09498592665496788,0.08551444943896931,0.010237966783677634,40,0.11162077468101042,0.1180031324578138,0.11662460944403488,0.12444709799749144,0.12869404749044444,0.119877932414159,0.006014662055686283
67,0.04488506317138672,0.006035337475991142,1.0251295566558838,0.05039076603461867,1.1288378916846895,l1,5,"{'logistic__C': 1.1288378916846895, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 5}",0.09597572213557871,0.08311526717710897,0.08037533103991983,0.07836603823732809,0.1006913846774652,0.08770474865348016,0.008933721873594605,18,0.11328869090357883,0.1181398452974136,0.12088102489094951,0.1301107526256978,0.12250414997086446,0.12098489273770083,0.005530389993020176
68,0.025226068496704102,0.0013033844012123631,1.0310526371002198,0.010686076838890387,1.1288378916846895,l2,2,"{'logistic__C': 1.1288378916846895, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 2}",0.09259095771609568,0.06468189027744498,0.07299317582286964,0.0756957270074928,0.10190230514785212,0.08157281119435104,0.01362454658510322,80,0.1100234243264773,0.11774661291822953,0.11255005171106257,0.12080347155746421,0.12511821959780012,0.11724835602220676,0.005460687878097163
69,0.026707792282104494,0.0013803111442728853,1.0107924938201904,0.023611688665940173,1.1288378916846895,l2,3,"{'logistic__C': 1.1288378916846895, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 3}",0.09259095771609568,0.0739468261946836,0.06918559366184023,0.07734563415406229,0.08975000983135721,0.0805638043116078,0.009084530665030677,87,0.11003376623078855,0.11815144513449553,0.11802079089460213,0.1265304593346695,0.13075756947848882,0.1206988062146089,0.007246941270558868
70,0.030535459518432617,0.004836544905427415,1.0194280624389649,0.027857529733274655,1.1288378916846895,l2,4,"{'logistic__C': 1.1288378916846895, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 4}",0.09244744479163633,0.08128922091812849,0.07493966528361401,0.07718349952733997,0.09498592665496788,0.08416915143513733,0.008097030493131025,44,0.1179620922577143,0.1159856541612795,0.11754160206727107,0.12570184767838302,0.12945712338684695,0.12132966391029898,0.005280529897734472
71,0.027558040618896485,0.0007312653053767046,1.003135585784912,0.006726541418832566,1.1288378916846895,l2,5,"{'logistic__C': 1.1288378916846895, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 5}",0.09249481301791213,0.07779263100898293,0.08233452138040659,0.08197961710059341,0.10414474707538948,0.08774926591665691,0.00951919013629683,16,0.1183819188179856,0.11899570163582618,0.11967367936504002,0.12973727476422975,0.12215219024237786,0.12178815296509189,0.004175937610006394
72,0.030374717712402344,0.004004826163253957,0.9874115467071534,0.036958633695302834,0.4832930238571757,l1,2,"{'logistic__C': 0.4832930238571757, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 2}",0.0994540590929016,0.07362014661733754,0.07464599407268958,0.08095390984046301,0.10010012254827937,0.08575484643433422,0.011723155777091649,37,0.10733244866213504,0.1188149620495732,0.1153155585359748,0.1218560025253218,0.12417833392649281,0.11749946113989954,0.005889905100970536
73,0.03212471008300781,0.004004030554079574,1.0148581504821776,0.0203715952741008,0.4832930238571757,l1,3,"{'logistic__C': 0.4832930238571757, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 3}",0.10647249586162813,0.08087694107283522,0.07458838757184513,0.06053375245805814,0.09158335498241046,0.08281098638935543,0.015520620448092194,50,0.10695013429395472,0.11917735030009423,0.12118182386943804,0.12316892225514015,0.12615987335271453,0.11932762081426833,0.0066045150354363535
74,0.03307461738586426,0.004471020978552341,1.0253215789794923,0.020220818305851127,0.4832930238571757,l1,4,"{'logistic__C': 0.4832930238571757, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 4}",0.08677432785384333,0.0827688242213929,0.0803216119248702,0.06613038084198011,0.09656069912234595,0.0825111687928865,0.009886906362943823,59,0.11150538680188903,0.11625493562993029,0.11698549290495963,0.12479613412730133,0.1274059606687251,0.11938958202656107,0.005852509188883285
75,0.03775472640991211,0.0037895522948830024,1.0241755485534667,0.005900687387817347,0.4832930238571757,l1,5,"{'logistic__C': 0.4832930238571757, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 5}",0.08677432785384333,0.08658731913250338,0.07470397832343253,0.07448474542503412,0.10579544267094967,0.08566916268115261,0.011423292037880685,38,0.11150538680188903,0.11473326464862842,0.11994971956856224,0.12798899711626952,0.12485533641991028,0.11980654091105189,0.006117364094893823
76,0.024451255798339844,0.0011028928253313656,1.03454270362854,0.028363407814622363,0.4832930238571757,l2,2,"{'logistic__C': 0.4832930238571757, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 2}",0.09259095771609568,0.06282626198389685,0.07299317582286964,0.0738736221770556,0.10017953333487356,0.08049271020695828,0.013755706690723006,101,0.11044533535330722,0.11773493383953247,0.11212691336554945,0.12078002703325848,0.12388618371216784,0.11699467866076307,0.005078557248522238
77,0.026154565811157226,0.0006954560901805614,1.0047635078430175,0.03976081337933735,0.4832930238571757,l2,3,"{'logistic__C': 0.4832930238571757, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 3}",0.09615373895984834,0.0739468261946836,0.07109524262344635,0.07553019512372455,0.08975000983135721,0.08129520254661202,0.009833951378722231,83,0.11003376623078855,0.11897265948194197,0.11676443083049194,0.12570184767838302,0.13116715743130472,0.12052797233058203,0.007303052102607656
78,0.02766861915588379,0.000775371773033108,0.9962832450866699,0.030405945372768105,0.4832930238571757,l2,4,"{'logistic__C': 0.4832930238571757, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 4}",0.09067888272657314,0.08305653081448684,0.07493966528361401,0.07536591211065902,0.09498592665496788,0.08380538351806018,0.008032881849327355,45,0.11836403563710678,0.11639133966191892,0.11753349962763976,0.12567993840011374,0.12825524209969816,0.12124481108529547,0.004784252963263801
79,0.02671027183532715,0.0008405205084473803,1.0118045806884766,0.007104522416374225,0.4832930238571757,l2,5,"{'logistic__C': 0.4832930238571757, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 5}",0.09425854419240941,0.08141050572676606,0.08048398863983387,0.08197961710059341,0.10407398501488255,0.08844132813489707,0.009302960699179031,13,0.1175421540678563,0.11941186304350833,0.11967367936504002,0.13012078698880508,0.12091781268085856,0.12153325922921365,0.004427452697265416
80,0.028942632675170898,0.0004953233606777591,1.0552814960479737,0.030454710477889405,0.20691380811147903,l1,2,"{'logistic__C': 0.20691380811147903, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 2}",0.0973082251005619,0.07147694428616537,0.08172555004372932,0.062352366439209536,0.08666147810322282,0.0799049127945778,0.012091019069695858,108,0.10455213710522007,0.12060449062862232,0.11000760779829677,0.12294269690279466,0.12046113929789692,0.11571361434656616,0.007153410144995667
81,0.03194460868835449,0.0023521093327316537,1.002263069152832,0.03285928564226601,0.20691380811147903,l1,3,"{'logistic__C': 0.20691380811147903, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 3}",0.09901960827669685,0.07885278871328946,0.07792748765793166,0.06926655218886013,0.07768895623156136,0.08055107861366789,0.009862923371549318,100,0.10623557656127232,0.11521041664577454,0.11044233924887364,0.12704985586008563,0.120695835304129,0.11592680472402703,0.0073617714713064015
82,0.031223297119140625,0.001442610177994188,1.0053160667419434,0.006119199434300447,0.20691380811147903,l1,4,"{'logistic__C': 0.20691380811147903, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 4}",0.09370448808900118,0.07885278871328946,0.07619910545217025,0.06926655218886013,0.07939220523203963,0.07948302793507214,0.00797265203927147,110,0.10836149830029286,0.11853896031734745,0.11381582987986781,0.12622878222605619,0.11954274051941968,0.1172975622485968,0.005972006096686025
83,0.0321098804473877,0.003610433108986793,0.992307186126709,0.046764431874462546,0.20691380811147903,l1,5,"{'logistic__C': 0.20691380811147903, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 5}",0.09370448808900118,0.0914679228941784,0.0763623585536304,0.05989119887159463,0.1006913846774652,0.08442347061717395,0.014609726251838767,42,0.10836149830029286,0.11441548659371849,0.11468122364075531,0.13064801654830788,0.12251503139472902,0.1181242512955607,0.0077077151877474916
84,0.023491573333740235,0.002328169124376597,1.0223403930664063,0.026754755482588686,0.20691380811147903,l2,2,"{'logistic__C': 0.20691380811147903, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 2}",0.0925426512599264,0.06282626198389685,0.07293244674741291,0.07204213475974813,0.09506756501465684,0.07908221195312823,0.01255669659751362,111,0.11001311341122953,0.11935473444398997,0.11337784423855653,0.12074510248087919,0.12504417125840644,0.11770699316661233,0.005361280779904904
